datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
1998-01-02,0.0,100000.0,0.0,100000.0,,,
2000-05-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-05-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2000-05-08,341.34000000000003,99648.06,1.3,99989.4,-0.0001060000000000505,0.999894,0.0001060000000000505
2000-05-09,0.0,99988.09999999999,2.6,99988.09999999999,-1.3001378146082487e-05,0.9998809999999999,0.00011900000000009126
2000-05-10,0.0,99988.09999999999,2.6,99988.09999999999,0.0,0.9998809999999999,0.00011900000000009126
2000-05-11,0.0,99988.09999999999,2.6,99988.09999999999,0.0,0.9998809999999999,0.00011900000000009126
2000-05-12,0.0,99988.09999999999,2.6,99988.09999999999,0.0,0.9998809999999999,0.00011900000000009126
2000-05-15,313.07,99653.20999999999,3.9000000000000004,99966.28,-0.00021822596889020662,0.9996628,0.00033720000000003747
2000-05-16,0.0,99964.98,5.2,99964.98,-1.3004385078674296e-05,0.9996497999999999,0.0003502000000000782
2000-05-17,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-18,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-19,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-22,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-23,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-24,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-25,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-26,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-30,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-05-31,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-01,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-02,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-05,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-06,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-07,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-08,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-09,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-12,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-13,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-14,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-15,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-16,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-19,0.0,99964.98,5.2,99964.98,0.0,0.9996497999999999,0.0003502000000000782
2000-06-20,313.84,99664.19,6.5,99978.03,0.00013054571711013097,0.9997803,0.00021970000000004486
2000-06-21,344.87,99664.19,6.5,100009.06,0.00031036818789087484,1.0000906,0.0
2000-06-22,333.21999999999997,99664.19,6.5,99997.41,-0.00011648944605613387,0.9999741000000001,0.00011649999999996385
2000-06-23,320.45,99664.19,6.5,99984.64,-0.00012770330751565862,0.9998464000000001,0.0002441999999999167
2000-06-26,335.57,99664.19,6.5,99999.76000000001,0.00015122322788796438,0.9999976000000003,9.29999999997877e-05
2000-06-27,320.82,99664.19,6.5,99985.01000000001,-0.00014750035400079575,0.9998501000000003,0.0002404999999997548
2000-06-28,337.5,99664.19,6.5,100001.69,0.00016682500706854952,1.0000169000000003,7.369999999973231e-05
2000-06-29,317.72,99664.19,6.5,99981.91,-0.0001977966572365153,0.9998191000000003,0.00027149999999975805
2000-06-30,324.71999999999997,99664.19,6.5,99988.91,7.001266529105266e-05,0.9998891000000002,0.00020149999999985457
2000-07-03,330.49,99664.19,6.5,99994.68000000001,5.7706399639867456e-05,0.9999468000000004,0.00014379999999969417
2000-07-05,320.08,99664.19,6.5,99984.27,-0.00010410553841466719,0.9998427000000003,0.00024789999999974555
2000-07-06,321.19,99664.19,6.5,99985.38,1.1101746304698068e-05,0.9998538000000003,0.00023679999999970391
2000-07-07,337.5,99664.19,6.5,100001.69,0.00016312384870675878,1.0000169000000003,7.369999999973231e-05
2000-07-10,354.17,99664.19,6.5,100018.36,0.00016669718281758783,1.0001836000000004,0.0
2000-07-11,352.99,99664.19,6.5,100017.18000000001,-1.1797833917581713e-05,1.0001718000000006,1.1799999999784205e-05
2000-07-12,365.02,99664.19,6.5,100029.21,0.00012027933600999852,1.0002921000000005,0.0
2000-07-13,350.27,99664.19,6.5,100014.46,-0.00014745692783135755,1.0001446000000005,0.0001474999999999671
2000-07-14,357.64,99664.19,6.5,100021.83,7.368934452078868e-05,1.0002183000000004,7.380000000001274e-05
2000-07-17,361.49,99664.19,6.5,100025.68000000001,3.849159728441798e-05,1.0002568000000005,3.529999999996036e-05
2000-07-18,354.92,99664.19,6.5,100019.11,-6.568313257160341e-05,1.0001911000000006,0.00010099999999990672
2000-07-19,326.65000000000003,99664.19,6.5,99990.84,-0.0002826459863520814,0.9999084000000005,0.00038369999999998683
2000-07-20,341.77,99664.19,6.5,100005.96,0.0001512138511887695,1.0000596000000004,0.00023250000000007987
2000-07-21,332.03999999999996,99664.19,6.5,99996.23,-9.729420126569632e-05,0.9999623000000003,0.00032980000000015774
2000-07-24,301.85,99664.19,6.5,99966.04000000001,-0.0003019113820589281,0.9996604000000004,0.0006317000000000128
2000-07-25,0.0,99964.74,7.8,99964.74,-1.3004416299811083e-05,0.9996474000000004,0.0006447000000000536
2000-07-26,0.0,99964.74,7.8,99964.74,0.0,0.9996474000000004,0.0006447000000000536
2000-07-27,0.0,99964.74,7.8,99964.74,0.0,0.9996474000000004,0.0006447000000000536
2000-07-28,299.49,99641.07,9.1,99940.56000000001,-0.0002418852887527967,0.9994056000000004,0.0008865000000000123
2000-07-31,0.0,99939.26000000001,10.4,99939.26000000001,-1.3007731795799948e-05,0.9993926000000004,0.000899500000000053
2000-08-01,305.69,99622.97000000002,11.700000000000001,99928.66000000002,-0.00010606442353078283,0.9992866000000005,0.0010054999999999925
2000-08-02,0.0,99927.36000000002,13.000000000000002,99927.36000000002,-1.3009280820930336e-05,0.9992736000000004,0.0010185000000000333
2000-08-03,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-04,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-07,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-08,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-09,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-10,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-11,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-14,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-15,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-16,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-17,0.0,99927.36000000002,13.000000000000002,99927.36000000002,0.0,0.9992736000000004,0.0010185000000000333
2000-08-18,309.96999999999997,99607.16000000002,14.300000000000002,99917.13000000002,-0.00010237436473847783,0.9991713000000005,0.0011207999999999219
2000-08-21,0.0,99915.83000000002,15.600000000000003,99915.83000000002,-1.3010782035083324e-05,0.9991583000000005,0.0011337999999999626
2000-08-22,320.45,99601.46000000002,16.900000000000002,99921.91000000002,6.085121847054786e-05,0.9992191000000005,0.0010729999999999906
2000-08-23,336.69,99601.46000000002,16.900000000000002,99938.15000000002,0.00016252691726981183,0.9993815000000006,0.0009105999999998726
2000-08-24,347.84999999999997,99601.46000000002,16.900000000000002,99949.31000000003,0.00011166906731818749,0.9994931000000007,0.0007989999999997721
2000-08-25,352.19,99601.46000000002,16.900000000000002,99953.65000000002,4.3422010617133466e-05,0.9995365000000006,0.0007555999999998564
2000-08-28,359.94,99601.46000000002,16.900000000000002,99961.40000000002,7.753593790726931e-05,0.9996140000000007,0.0006780999999997928
2000-08-29,366.94,99601.46000000002,16.900000000000002,99968.40000000002,7.002703043368363e-05,0.9996840000000006,0.0006080999999998893
2000-08-30,368.86,99601.46000000002,16.900000000000002,99970.32000000002,1.9206069117760904e-05,0.9997032000000005,0.0005889000000000033
2000-08-31,377.78999999999996,99601.46000000002,16.900000000000002,99979.25000000001,8.932651210868947e-05,0.9997925000000003,0.0004996000000001555
2000-09-01,393.29,99601.46000000002,16.900000000000002,99994.75000000001,0.00015503216917500673,0.9999475000000002,0.00034460000000025026
2000-09-05,387.09,99601.46000000002,16.900000000000002,99988.55000000002,-6.200325517091709e-05,0.9998855000000002,0.00040660000000025676
